trial_index,success,distance_best,distance_current,distance_current_normalised,distance_diff,food_coordinate_x,food_coordinate_y,best_position_x,best_position_y,swarm_coordinate_x,swarm_coordinate_y,smell_concentration
0,false,0.11730985869519128,17.885045633819843,0.8942522816909921,17.767735775124653,-2.7588285857154204,-7.754276004988663,-0.5999999999999999,10,-0.5999999999999999,10,0.05591263340749009
1,false,0.11730985869519128,25.006016993710983,1.2503008496855492,24.888707135015792,-5.816857694469643,9.368218776197747,10,-10,10,-10,0.039990375126574544
2,true,0.11730985869519128,2.716936181591598,0.1358468090795799,2.599626322896407,-7.3553203925148525,0.9224242834222807,-10,0.29999999999999993,-10,0.29999999999999993,0.368061644868741
3,false,0.11730985869519128,21.978938389765112,1.0989469194882555,21.861628531069922,6.936344875174612,4.008353044174655,-10,-10,-10,-10,0.045498102877692584
4,false,0.11730985869519128,19.250119591197155,0.9625059795598577,19.132809732501965,9.249823577612236,0.5067544200325749,-10,0.4000000000000001,-10,0.4000000000000001,0.051947729221240156
5,false,0.11730985869519128,20.40844744687206,1.020422372343603,20.29113758817687,-4.869714619705487,3.97842317002371,10,-10,10,-10,0.048999317689561284
6,false,0.11730985869519128,24.566349962387758,1.2283174981193878,24.449040103692568,-8.935843220188122,-5.6505396716843155,10,10,10,10,0.04070608786128372
7,false,0.11730985869519128,21.87356791362694,1.093678395681347,21.75625805493175,6.604835821563093,4.238412854352314,-10,-10,-10,-10,0.045717278678482694
8,false,0.11730985869519128,23.30549785701196,1.165274892850598,23.18818799831677,5.6893329269562685,-7.233428639429671,-10,10,-10,10,0.04290833030623838
9,false,0.11730985869519128,14.429115234450666,0.7214557617225333,14.311805375755474,4.428111190710659,2.070217265711163,-10,1.9,-10,1.9,0.06930431864681627
10,false,0.11730985869519128,24.216241588130192,1.2108120794065096,24.098931729435,-7.488259509212154,6.750735386637118,10,-10,10,-10,0.04129459959179458
11,true,0.11730985869519128,0.9981719484514641,0.049908597422573205,0.8808620897562728,-4.257799859230906,4.118989914179851,0.40000000000000036,4.4,-3.3,4.4,1.0018313994411203
12,false,0.11730985869519128,24.93652423855718,1.246826211927859,24.81921437986199,9.071766902990507,-6.0654271122228725,-10,10,-10,10,0.04010181974173397
13,false,0.11730985869519128,21.28258139626837,1.0641290698134185,21.16527153757318,6.897415643227653,-2.9393050612772065,-10,10,-10,10,0.04698678141437003
14,true,0.11730985869519128,0.3711142797779718,0.01855571398889859,0.2538044210827805,-2.6321392264195325,4.969720000514277,-2.6,4.6000000000000005,-2.6,4.6000000000000005,2.694587771180011
15,false,0.11730985869519128,15.619699356094225,0.7809849678047113,15.502389497399033,5.617564413989474,2.2582435859029637,-10,2,-10,2,0.06402171880535186
16,false,0.11730985869519128,22.654514215998383,1.1327257107999191,22.537204357303192,6.555555603138153,-5.464171268912978,-10,10,-10,10,0.04414131287325554
17,false,0.11730985869519128,18.67305305896338,0.933652652948169,18.55574320026819,-3.5495528227721174,-2.848833754305085,10,10,10,10,0.05355310654569062
18,false,0.11730985869519128,19.777505621918053,0.9888752810959026,19.660195763222863,0.07598783403696885,9.777491045147407,0.1,-10,0.1,-10,0.05056249352758462
19,false,0.11730985869519128,19.469037344086104,0.9734518672043052,19.351727485390914,0.5373806812448585,-9.46900145847467,0.49999999999999994,10,0.49999999999999994,10,0.05136360788294235
20,false,0.11730985869519128,23.820283502619603,1.1910141751309802,23.702973643924413,-8.67760270504814,4.78354028430099,10,-10,10,-10,0.04198102847474617
21,true,0.11730985869519128,0.7667998123883927,0.03833999061941963,0.6494899536932014,2.0274444207731985,-0.5366107283330521,1.6,0.1,1.6,0.1,1.3041213415079564
22,false,0.11730985869519128,25.890467412368288,1.2945233706184145,25.773157553673098,-9.976522673337056,-6.46981617118281,10,10,10,10,0.03862425440501256
23,false,0.11730985869519128,22.382697122145494,1.1191348561072747,22.265387263450304,-3.5275214765273937,7.832310370891101,10,-10,10,-10,0.04467736817162207
24,true,0.11730985869519128,2.102382094933407,0.10511910474667034,1.9850722362382156,-3.356443436493244,2.520029977157707,-2.5,0.6,-2.5,0.6,0.4756509306324144
25,false,0.11730985869519128,21.265936298965695,1.0632968149482847,21.148626440270505,-7.319011981291883,2.3406592475254318,10,-10,10,-10,0.047023558518259866
26,false,0.11730985869519128,13.505406728858803,0.6752703364429402,13.388096870163611,3.0540403002667134,-3.5007653996983334,2.7,10,2.7,10,0.07404441940005899
27,false,0.11730985869519128,18.08365421216324,0.9041827106081619,17.96634435346805,-0.45045193648800286,-8.083035835881901,-0.5999999999999999,10,-0.5999999999999999,10,0.05529855792793198
28,false,0.11730985869519128,23.424152028489196,1.17120760142446,23.306842169794006,-7.732892380270934,-5.304751748509466,10,10,10,10,0.04269097975387832
29,false,0.11730985869519128,25.33074792576253,1.2665373962881266,25.21343806706734,-8.355525664878794,7.456273028470267,10,-10,10,-10,0.03947771313072656
30,false,0.11730985869519128,17.28781400561748,0.8643907002808741,17.17050414692229,-7.283150334854356,1.1015315624552446,10,0.7,10,0.7,0.057844213251893
31,false,0.11730985869519128,17.903954410365117,0.8951977205182559,17.786644551669927,5.487451692539992,7.90122613353444,4.6,-10,5.8,-10,0.05585358279403745
32,false,0.11730985869519128,16.06735929189738,0.8033679645948689,15.950049433202187,-6.066337966240964,0.9811600658124764,10,0.8,10,0.8,0.062237980855030156
33,true,0.11730985869519128,1.282196303621594,0.0641098151810797,1.1648864449264027,-4.014976570065394,4.983868193767815,-4.7,3.9,-4.7,3.9,0.7799117788559179
34,false,0.11730985869519128,17.562684314018888,0.8781342157009444,17.445374455323698,4.947138517874599,7.08865688462933,13,-10,9,-10,0.0569389042198851
35,false,0.11730985869519128,22.690876281986675,1.1345438140993338,22.573566423291485,-8.574738377324127,3.032841618710316,10,-10,10,-10,0.04407057654242545
36,false,0.11730985869519128,22.77166127526748,1.138583063763374,22.65435141657229,3.0888514515015792,-8.634122595819786,-10,10,-10,10,0.043914231285624716
37,true,0.11730985869519128,0.11730985869519128,0.005865492934759564,0,-0.10804314787624847,0.017033801610160992,-0.10000000000000012,-0.10000000000000012,-0.10000000000000012,-0.10000000000000012,8.524432738413925
38,true,0.11730985869519128,1.7090750201163956,0.08545375100581978,1.5917651614212043,-8.08459404183709,-2.720830492075854,-7.2,-2.9,-7,-1.4,0.5851118226114472
39,false,0.11730985869519128,21.299563658832508,1.0649781829416254,21.182253800137318,6.077133018790704,3.9712993652261286,-10,-10,-10,-10,0.04694931858781622
